Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
800,5430,73761,73453,531,318,76809,4583,19221,12297,110815,24788
810,22405,75210,75474,1528,736,78100,18474,20261,14031,140623,49520
812,11116,69663,71590,785,134,72005,9057,17730,13510,148748,63277
820,13865,86116,80159,2538,1023,89300,11885,24424,15135,171019,52818
822,7214,52855,50815,1279,867,54654,4845,13754,7882,61763,9385
828,1052,85915,75469,4883,1836,89095,891,25122,14460,112007,47569
829,517,71286,71086,2853,1729,74283,487,14120,12324,63740,25423
830,11440,71173,72580,-945,-699,73714,9458,18003,13815,117400,55112
832,12245,76316,77654,-923,-713,79138,10603,18996,14837,107564,55560
834,827,78977,78323,1623,1454,81792,709,20710,15648,148863,85542
835,2770,77902,78938,491,232,81205,2281,21428,15942,182345,99184
836,5252,78068,79470,345,-29,81075,4426,20784,15436,154363,89733
837,443,68391,72240,2902,747,71114,333,19456,13145,134710,71960
838,577,73350,77895,362,-639,76304,466,19373,15495,148132,81122
839,571,74980,76593,1136,-3,77755,498,18261,13557,127615,57909
840,208,52820,66506,981,2547,55256,135,15170,9573,174409,89719
841,386,70930,71928,2079,612,73733,306,19441,13168,122993,61336
845,310,61148,60767,3702,1969,63947,221,17398,10632,103341,55255
846,204,67316,64649,-180,730,71972,147,20649,10118,106489,54450
847,161,50504,51447,6681,3668,51962,109,12630,7132,66582,15577
850,4354,68647,67770,3081,1840,71285,3647,16860,12587,96818,30407
852,2152,46612,44908,1846,2162,48554,1406,11276,6389,39899,5493
853,496,78356,80196,1665,1621,81079,451,17350,16211,200900,117115
854,450,52316,51651,4480,4134,53819,298,13707,8050,58603,9701
860,1356,66374,67543,2064,974,69129,1102,15690,12602,75100,26671
862,282,49861,51485,3787,1137,52410,205,10178,7974,49090,14728
870,13612,73542,72886,2944,1638,76495,11524,18743,13686,118772,44557
872,3837,46784,43692,1885,1123,48222,2445,11192,6199,39225,4817
873,773,71059,68677,3334,3189,74047,624,18992,13169,112350,49447
874,194,77464,78152,-185,1318,80441,168,20294,15778,119726,29581
875,913,68068,69049,231,1104,70390,741,17134,12772,94611,31604
880,1495,73770,72155,1720,834,76337,1203,20062,13409,102484,32380
885,590,93761,95449,1346,749,97097,520,26585,17666,148664,81791
886,644,65909,64428,365,542,68093,515,16194,10941,98550,28964
2000,22833,107563,75978,2892,1799,112144,16163,48320,9662,169394,11051
2007,5159,61333,62247,1916,770,63802,3499,20310,9894,76676,12958
2008,6773,68064,68915,2220,682,99566,4807,22928,12159,91729,17599
2009,8920,105118,95156,2131,1288,109227,6984,39900,17567,224871,51183
2010,19012,114577,100987,2861,1570,119513,15820,41096,19017,173351,48979
2011,12968,137254,104772,4097,2169,143087,10767,53996,19613,269759,63289
2015,8369,116200,100416,-559,338,119984,7264,39632,20934,149062,68444
2016,8532,95585,90777,3779,2202,99140,6892,32343,17693,145860,48989
2017,18874,80942,84344,-622,-315,84034,15195,24781,16371,86003,30277
2018,12453,74031,76733,2697,1345,76911,9659,22505,14224,104010,42056
2019,8498,80117,81872,1770,538,83370,7048,23062,15874,138184,69547
2020,14886,65966,69165,915,42,68640,11422,18790,11580,80935,23932
2021,10317,176804,134642,4579,2783,183850,8550,74746,25258,337086,79968
2022,9548,116534,108706,7889,4089,121410,7551,45307,19191,218783,51644
2023,7193,245728,140886,12753,6335,264687,5921,113439,26685,602236,88781
2024,7339,177370,133588,6970,3359,183174,5974,77170,24513,272918,82019
2025,4978,215123,141989,9051,4538,225440,3991,99087,27606,620753,107186
2026,22939,147052,112086,6970,3366,152590,18929,59518,21040,177249,46865
2027,5703,269777,142295,11316,5570,289087,4566,132095,29478,828583,115743
2028,3304,354308,133723,12613,6218,364637,2715,177456,27852,555381,86093
2029,6790,162055,115006,12103,5328,174129,5512,69488,21697,439440,81650
2030,9590,239974,129789,12494,6181,251272,7647,114269,26689,618208,105279
2031,23035,120485,104847,5431,2729,125393,18857,45281,20077,212366,67245
2032,9145,77494,73327,6053,4446,80442,6557,27934,13113,149949,38044
2033,7548,88130,81041,6259,3517,91655,5654,32332,15430,177312,41480
